Region,"Snow Depth in Valley (cm)","Snow Depth on Mountain (cm)","New Snow (cm)","Lifts Open",Date
"Maurach am Achensee / Rofan Seilbahn",-,"20 cm",-,0,"Heute, 07:59"
"MÃ¶lltaler Gletscher",-,"70 cm",-,4/9,"Heute, 08:09"
Nassfeld,"2 cm","5 cm",-,0,"Heute, 02:00"
Nauders,"15 cm","35 cm",-,,"Gestern, 07:36"
"Obergurgl / Hochgurgl","19 cm","50 cm",-,19/25,"Heute, 12:10"
Obertauern,"30 cm","40 cm",-,18/26,"Heute, 10:39"
"Oetz / Hochoetz",-,-,-,0,"Heute, 11:05"
"Panoramabahn KitzbÃ¼heler Alpen / Mittersill",-,"45 cm","4 cm",12/56,"Heute, 12:11"
"Pitztaler Gletscher / Rifflsee / Pitztal","10 cm","90 cm",-,7/13,"Gestern, 08:14"
"Planai / Schladming / Ski amade",-,"60 cm",-,4/16,"Heute, 12:52"
"Planberg- und Wiesenlifte / Pertisau â Achensee","5 cm","20 cm",-,0,"Heute, 07:53"
"Planneralm / SchneebÃ¤ren","10 cm","50 cm",-,1/6,"Heute, 09:45"
"Ramsau / Dachstein / Ski amade","5 cm","10 cm","5 cm",,"Heute, 12:00"
"Rastkogel Bahnen / Tux-Vorderlanersbach / Zillertal",-,"85 cm",-,17/64,"Heute, 10:50"
"Raurisertal / Hochalmbahnen",-,-,-,0,"Heute, 02:01"
"Reichenau an der Rax / Raxalpe",-,"10 cm","8 cm",1/1,"Heute, 08:44"
"Reiteralm / Schladming / Ski amade","10 cm","70 cm",-,4/13,"Heute, 12:00"
"Riesneralm / SchneebÃ¤ren","20 cm","40 cm",-,3/8,"Heute, 02:00"
"Rofanlifte / Steinberg am Rofan",-,"20 cm",-,0,"Heute, 07:59"
"RuÃbach am PaÃ GschÃ¼tt / Dachstein West",-,-,-,0,"Heute, 02:00"
"Saalbach Hinterglemm / Leogang / Fieberbrunn","50 cm","50 cm",-,12/69,"Heute, 10:00"
"Schattwald / ZÃ¶blen im Tannheimertal","15 cm","40 cm",-,0,"Gestern, 08:14"
"Schlick 2000 - Fulpmes",-,"40 cm",-,6/11,"Gestern, 17:57"
"Schmitten / Zell am See",-,-,-,0,"Heute, 12:50"
"Schollenwiesenlift / HÃ¶fen bei Reutte",-,-,-,0,"Do, 28.11."
"See / Paznaun-Ischgl","20 cm","40 cm",-,0,"Heute, 12:50"
"Seilbahn Bezau",-,-,-,0,"Mo, 25.11."
"Serfaus - Fiss - Ladis","15 cm","40 cm",-,0,"Heute, 12:50"
"Serlesbahnen Mieders",-,-,-,0,"Heute, 02:00"
"Sillian / Hochpustertal",-,"40 cm",-,4/7,"Heute, 08:17"
