                           Region,Snow Depth in Valley (cm),Snow Depth on Mountain (cm),New Snow (cm),Lifts Open,Date
See / Paznaun-Ischgl,-,-,-,0,"Heute, 13:25"
Serfaus - Fiss - Ladis,-,-,-,0,"Heute, 13:25"
Serlesbahnen Mieders,-,-,-,0,"So, 17.11."
Sillian / Hochpustertal,-,-,-,,"Mi, 13.11."
Silvapark Galtür / Paznaun-Ischgl,-,-,-,0,"Heute, 13:25"
Silvretta Arena Ischgl / Samnaun,-,5 cm,-,0,"Heute, 13:25"
Silvretta Bielerhöhe / Vermuntbahn / Montafon,-,5 cm,-,0,"Fr, 15.11."
Silvretta Montafon,-,20 cm,-,0,"Heute, 13:09"
Ski amade / Flachau / Snow Space Salzburg,-,-,-,0,"Heute, 09:00"
Ski amade / St. Johann Alpendorf / Snow Space Salzburg,-,-,-,0,"Heute, 09:00"
Ski amade / Wagrain / Snow Space Salzburg,-,-,-,0,"Heute, 09:00"
Ski- und Gletscherwelt Zillertal 3000 / Zillertal,-,85 cm,-,15/64,"Heute, 00:15"
Skischaukel Mellau / Damüls / Faschina,5 cm,5 cm,-,0,"Heute, 13:00"
Sölden,-,47 cm,-,31-Oct,"Heute, 13:27"
Sonnenkopf / Klostertal,-,-,-,0,"Heute, 11:51"
Spieljoch / Fügen / Zillertal,-,-,-,0,"Gestern, 14:00"
Sportgastein / Ski amade,-,-,-,0,"Heute, 12:00"
St. Anton / Arlberg,-,-,-,0,"Heute, 13:28"
Stubaier Gletscher / Stubaital,-,30 cm,-,15/26,"Heute, 10:00"
Stuben / Arlberg,-,-,-,0,"Heute, 13:28"
Stuhleck / Semmering,-,-,-,0,"Heute, 13:16"
Tauplitz / Bad Mitterndorf / Schneebären,-,-,-,0,"So, 17.11."
Turracher Höhe,-,-,-,0,"So, 17.11."
Vent,-,-,-,0,"Heute, 13:05"
Warth / Schröcken am Arlberg,-,-,-,0,"Heute, 10:00"
Werfenweng,-,-,-,0,"So, 17.11."
Wildkogel-Arena / Neukirchen / Bramberg,-,-,-,0,"So, 17.11."
Wildschönau / Ski Juwel Alpbachtal Wildschönau,-,-,-,0,"So, 17.11."
Wurzeralm / Spital am Pyhrn,-,-,-,0,"Heute, 08:39"
Zell am Ziller / Zillertal Arena,-,-,-,0,"Heute, 13:09"
